worker_id,name,skill_set,experience_level,availability,health_status,past_performance,job_sites,productivity_score
181,Roy Carter,Carpentry,Intermediate,Available,Minor Issues,2,E,1.6
182,Brenda Ewing,HVAC,Advanced,Unavailable,Major Issues,5,C,3.0
183,Amy Cordova,Painting,Beginner,Available,Major Issues,10,H,4.0
184,Jamie Mitchell,Drywall,Beginner,Available,Minor Issues,10,I,6.4
185,Scott Evans,Painting,Beginner,Available,Minor Issues,4,I,2.56
186,Jonathan Hall,Flooring,Intermediate,Unavailable,Major Issues,2,F,1.0
187,Benjamin Pugh,Heavy Machinery Operation,Advanced,Available,Minor Issues,3,F,2.88
188,Matthew Griffith,Heavy Machinery Operation,Intermediate,Unavailable,Minor Issues,9,B,7.2
189,Brian Hansen,Heavy Machinery Operation,Advanced,Available,Major Issues,6,D,3.6
190,Jared Jackson,Heavy Machinery Operation,Beginner,Unavailable,Major Issues,1,G,0.4
191,Samuel Young,Painting,Beginner,Available,Minor Issues,5,F,3.2
192,Melinda Patterson,Drywall,Advanced,Unavailable,Major Issues,1,D,0.6
193,Robin Wright,HVAC,Advanced,Unavailable,Minor Issues,7,D,6.72
194,Ricardo Wells,Roofing,Advanced,Unavailable,Healthy,6,F,7.2
195,Christian Weiss,Drywall,Intermediate,Available,Major Issues,1,H,0.5
196,Brandy Johnson,Heavy Machinery Operation,Beginner,Available,Healthy,2,H,1.6
197,Juan Leonard,Drywall,Beginner,Available,Healthy,3,B,2.4
198,Joshua Chandler,Heavy Machinery Operation,Intermediate,Available,Healthy,8,E,8.0
199,Christopher Morris,Carpentry,Beginner,Unavailable,Healthy,7,I,5.6
200,Dean Berry,HVAC,Intermediate,Unavailable,Minor Issues,9,B,7.2
201,Angela Brown,Landscaping,Beginner,Unavailable,Minor Issues,1,I,0.64
202,David Hartman,HVAC,Beginner,Unavailable,Minor Issues,1,G,0.64
203,Melody Luna,Painting,Advanced,Unavailable,Healthy,9,F,10.8
204,Mr. Joe Bryant PhD,HVAC,Beginner,Unavailable,Healthy,4,A,3.2
205,Thomas Glass,HVAC,Intermediate,Available,Healthy,1,G,1.0
206,Kelly Johnston,Landscaping,Advanced,Unavailable,Minor Issues,2,J,1.92
207,Dana Davis,Flooring,Advanced,Available,Healthy,8,C,9.6
208,John Garcia,Heavy Machinery Operation,Advanced,Unavailable,Healthy,10,A,12.0
209,Chase Lee,Carpentry,Advanced,Unavailable,Healthy,6,B,7.2
210,Kelly Cowan,Heavy Machinery Operation,Intermediate,Available,Healthy,5,D,5.0
211,John Scott,Drywall,Beginner,Unavailable,Minor Issues,7,J,4.48
212,Angela Morgan,Landscaping,Beginner,Unavailable,Major Issues,6,E,2.4
213,Michael Davies,Carpentry,Beginner,Available,Minor Issues,4,A,2.56
214,Mr. Andrew Fitzgerald DVM,Drywall,Intermediate,Unavailable,Major Issues,1,F,0.5
215,Victoria Morton,HVAC,Intermediate,Available,Healthy,7,E,7.0
216,Jesus Arnold,Heavy Machinery Operation,Beginner,Available,Major Issues,2,I,0.8
217,Elizabeth Allen,HVAC,Beginner,Unavailable,Major Issues,2,C,0.8
218,Gregory Stephens,Plumbing,Advanced,Available,Major Issues,8,E,4.8
219,Shawn Huynh,Flooring,Advanced,Unavailable,Healthy,4,H,4.8
220,Dr. William Hill,Heavy Machinery Operation,Intermediate,Available,Major Issues,10,A,5.0
221,Devin Ray,Heavy Machinery Operation,Advanced,Available,Healthy,7,F,8.4
222,Eric Roman,HVAC,Intermediate,Available,Healthy,1,F,1.0
223,Lisa Gonzalez,Plumbing,Intermediate,Available,Healthy,8,G,8.0
224,Anna Sandoval,Plumbing,Intermediate,Unavailable,Minor Issues,1,G,0.8
225,Charles Wilson,Painting,Beginner,Available,Minor Issues,9,I,5.76
226,Daniel Oneill,Plumbing,Intermediate,Available,Major Issues,8,C,4.0
227,Victor Santos DDS,Flooring,Advanced,Available,Healthy,8,J,9.6
228,Martin Cordova,Plumbing,Intermediate,Available,Major Issues,6,J,3.0
229,Loretta Jones,Roofing,Advanced,Available,Minor Issues,1,B,0.96
230,Brandy Owens,Drywall,Beginner,Unavailable,Minor Issues,1,H,0.64
231,Kristin Monroe,Painting,Advanced,Unavailable,Minor Issues,8,B,7.68
232,Robert Jordan,Heavy Machinery Operation,Intermediate,Unavailable,Major Issues,3,G,1.5
233,Kimberly Hale,Electrical,Beginner,Unavailable,Minor Issues,5,G,3.2
234,Savannah Martin,Plumbing,Intermediate,Available,Minor Issues,6,C,4.8
235,Nicholas Gibson,Painting,Advanced,Unavailable,Major Issues,10,B,6.0
236,Kenneth Rodriguez,Electrical,Advanced,Unavailable,Healthy,9,G,10.8
237,Jennifer Vasquez,Roofing,Intermediate,Unavailable,Minor Issues,4,F,3.2
238,Don Russell,Painting,Beginner,Unavailable,Minor Issues,10,G,6.4
239,Jennifer Coffey,Plumbing,Beginner,Available,Healthy,5,C,4.0
240,Sarah Ponce,Carpentry,Advanced,Available,Major Issues,7,D,4.2
241,Danielle Sharp,Electrical,Beginner,Unavailable,Major Issues,9,H,3.6
242,Stefanie Harris,HVAC,Beginner,Available,Major Issues,4,D,1.6
243,Wayne Davis,Heavy Machinery Operation,Beginner,Unavailable,Major Issues,4,J,1.6
244,Jason Wells,Painting,Beginner,Unavailable,Minor Issues,7,C,4.48
245,Tiffany Lambert,HVAC,Beginner,Available,Healthy,2,H,1.6
246,Jessica Mitchell,Roofing,Advanced,Unavailable,Major Issues,10,I,6.0
247,Devin Goodman,Electrical,Beginner,Unavailable,Major Issues,7,G,2.8
248,Derek Dunn,Plumbing,Beginner,Unavailable,Major Issues,1,F,0.4
249,Alexis Butler,Roofing,Beginner,Unavailable,Minor Issues,1,E,0.64
250,Kristina Dennis,Landscaping,Intermediate,Available,Major Issues,1,B,0.5
251,Sean Miller,HVAC,Intermediate,Unavailable,Minor Issues,3,C,2.4
252,Shannon Cochran,Flooring,Advanced,Available,Healthy,6,G,7.2
253,Theresa Kent,Plumbing,Advanced,Unavailable,Minor Issues,5,F,4.8
254,Debra Prince,Carpentry,Advanced,Available,Minor Issues,7,D,6.72
255,Cameron Rich,Heavy Machinery Operation,Advanced,Available,Healthy,4,H,4.8
256,Tony Bender,Electrical,Advanced,Available,Major Issues,5,B,3.0
257,Scott Anderson,Carpentry,Beginner,Unavailable,Major Issues,5,G,2.0
258,Wayne Holder,Roofing,Beginner,Available,Healthy,1,G,0.8
259,Julie Parker,Flooring,Intermediate,Unavailable,Healthy,4,H,4.0
260,Elizabeth Mccall,Landscaping,Beginner,Available,Healthy,10,A,8.0
261,Ellen Chapman,Heavy Machinery Operation,Beginner,Available,Minor Issues,10,F,6.4
262,Christopher Hart,Drywall,Beginner,Unavailable,Major Issues,10,I,4.0
263,Melissa Hernandez,Landscaping,Intermediate,Unavailable,Healthy,1,J,1.0
264,Amber Williams,Roofing,Beginner,Available,Major Issues,1,E,0.4
265,Brian Miller,Electrical,Advanced,Available,Minor Issues,3,A,2.88
266,Robert Benjamin,Electrical,Beginner,Available,Major Issues,6,F,2.4
267,Joshua Clark,Flooring,Beginner,Available,Healthy,7,G,5.6
268,Erin Watson,Painting,Beginner,Available,Minor Issues,4,B,2.56
269,David Walker,HVAC,Intermediate,Available,Major Issues,10,G,5.0
270,Mary Little,Plumbing,Intermediate,Available,Major Issues,10,A,5.0
271,Christopher Miller,Painting,Beginner,Available,Healthy,4,E,3.2
272,Katherine George,Drywall,Intermediate,Available,Minor Issues,10,A,8.0
273,Ronald Ellis,HVAC,Intermediate,Available,Healthy,6,D,6.0
274,Daniel Koch,Electrical,Intermediate,Unavailable,Minor Issues,3,J,2.4
275,Donald Day,Electrical,Beginner,Available,Minor Issues,9,A,5.76
276,Nicole Cruz,HVAC,Intermediate,Available,Minor Issues,3,J,2.4
277,Alison Harrison,HVAC,Beginner,Unavailable,Minor Issues,10,B,6.4
278,Matthew Cook,Plumbing,Beginner,Unavailable,Minor Issues,1,F,0.64
279,Debbie Sloan,Roofing,Advanced,Unavailable,Minor Issues,2,E,1.92
280,Candice Rodriguez,Heavy Machinery Operation,Advanced,Unavailable,Healthy,7,B,8.4
281,Steven Wise,Plumbing,Beginner,Unavailable,Healthy,6,F,4.8
282,Sandra Clark,Flooring,Advanced,Unavailable,Healthy,8,H,9.6
283,Kevin Crane,Drywall,Beginner,Unavailable,Healthy,4,J,3.2
284,Andrew Joseph,Landscaping,Advanced,Available,Major Issues,7,J,4.2
285,Kelly Hernandez MD,Carpentry,Intermediate,Unavailable,Major Issues,10,H,5.0
286,Charles Leblanc,Painting,Advanced,Unavailable,Minor Issues,2,B,1.92
287,Alexa Clarke,Roofing,Advanced,Available,Minor Issues,5,B,4.8
288,Gabriel Keller,Plumbing,Beginner,Available,Major Issues,10,A,4.0
289,Thomas Kim,Carpentry,Advanced,Available,Minor Issues,6,F,5.76
290,Evan Leon,Flooring,Beginner,Unavailable,Minor Issues,6,H,3.84
291,Scott Yates,HVAC,Intermediate,Unavailable,Healthy,6,D,6.0
292,Albert Wilson,Carpentry,Beginner,Unavailable,Major Issues,5,A,2.0
293,Emily Conway,Plumbing,Intermediate,Available,Major Issues,5,D,2.5
294,Casey Harris,Painting,Advanced,Unavailable,Major Issues,9,G,5.4
295,Brenda Hamilton,Heavy Machinery Operation,Beginner,Unavailable,Major Issues,10,A,4.0
296,Mark Williamson,Roofing,Beginner,Unavailable,Healthy,2,I,1.6
297,Roy Williams,HVAC,Advanced,Unavailable,Major Issues,5,C,3.0
298,Ashley Gomez,Painting,Beginner,Available,Minor Issues,2,C,1.28
299,Ann Phillips,Roofing,Intermediate,Available,Healthy,5,J,5.0
300,Carolyn Greer,Roofing,Advanced,Available,Major Issues,4,A,2.4
301,Edward Cohen,Roofing,Beginner,Unavailable,Healthy,7,H,5.6
302,Melinda Patrick,Roofing,Advanced,Available,Major Issues,10,E,6.0
303,Courtney Tran,Heavy Machinery Operation,Intermediate,Available,Major Issues,3,C,1.5
304,Caleb Stone,Roofing,Intermediate,Unavailable,Minor Issues,10,E,8.0
305,Daniel Smith,Flooring,Intermediate,Available,Minor Issues,2,C,1.6
306,Sara Ramos,Roofing,Intermediate,Available,Minor Issues,1,D,0.8
307,Reginald Dunn,Roofing,Intermediate,Unavailable,Healthy,5,D,5.0
308,Sonya Donaldson,Roofing,Advanced,Available,Minor Issues,4,B,3.84
309,Ariana Acevedo,Plumbing,Advanced,Available,Healthy,5,H,6.0
310,Morgan Atkins,Flooring,Beginner,Unavailable,Healthy,1,C,0.8
311,Melanie Collins,Heavy Machinery Operation,Advanced,Unavailable,Minor Issues,5,C,4.8
312,Kurt Reid,HVAC,Beginner,Unavailable,Major Issues,2,H,0.8
313,Sean Chan,Painting,Intermediate,Unavailable,Healthy,9,C,9.0
314,Misty Davis,HVAC,Intermediate,Available,Minor Issues,3,E,2.4
315,Kenneth Anderson,Painting,Beginner,Available,Major Issues,3,D,1.2
316,Hannah Brennan,Roofing,Intermediate,Available,Minor Issues,7,A,5.6
317,Harold Douglas,Heavy Machinery Operation,Beginner,Available,Healthy,4,I,3.2
318,Luis Clark,Plumbing,Beginner,Available,Minor Issues,10,G,6.4
319,Natasha Woodard,Landscaping,Intermediate,Unavailable,Healthy,3,I,3.0
320,Anthony Carpenter,Electrical,Advanced,Unavailable,Healthy,7,A,8.4
321,Kevin Mack,Carpentry,Advanced,Unavailable,Major Issues,1,A,0.6
322,Patricia Rose,Carpentry,Beginner,Available,Minor Issues,4,G,2.56
323,Alicia Robinson,Carpentry,Beginner,Available,Healthy,5,J,4.0
324,Deanna Moore,Landscaping,Advanced,Unavailable,Major Issues,4,E,2.4
325,Maria Martinez,Flooring,Advanced,Available,Minor Issues,8,E,7.68
326,Joseph Pace,Carpentry,Advanced,Available,Major Issues,2,A,1.2
327,Howard Andrews,Carpentry,Intermediate,Unavailable,Healthy,7,J,7.0
328,Laura Torres,Flooring,Advanced,Unavailable,Minor Issues,2,I,1.92
329,Dr. Jessica Grant,HVAC,Beginner,Available,Minor Issues,1,H,0.64
330,Elizabeth Manning,Roofing,Advanced,Unavailable,Major Issues,9,B,5.4
331,Alyssa Martinez,Flooring,Beginner,Available,Major Issues,9,B,3.6
332,Stephanie Martinez,Roofing,Intermediate,Unavailable,Healthy,9,F,9.0
333,Kara Allen,Roofing,Intermediate,Available,Healthy,3,H,3.0
334,Claudia Walsh,Drywall,Beginner,Available,Major Issues,6,F,2.4
335,Rachel Berger,Carpentry,Advanced,Available,Minor Issues,7,B,6.72
336,Jeffrey Russo,Electrical,Beginner,Available,Healthy,2,E,1.6
337,Jeremy Stewart,Roofing,Intermediate,Unavailable,Major Issues,7,D,3.5
338,Carrie Davis,Painting,Intermediate,Unavailable,Healthy,6,G,6.0
339,Jason Lawson,Roofing,Intermediate,Unavailable,Minor Issues,6,A,4.8
340,Aaron Mercado,Electrical,Intermediate,Unavailable,Major Issues,10,B,5.0
341,Alexander Salas,Drywall,Beginner,Available,Major Issues,2,D,0.8
342,Kathryn Martinez,HVAC,Beginner,Available,Minor Issues,7,D,4.48
343,Lori Campbell,Roofing,Intermediate,Unavailable,Major Issues,5,A,2.5
344,Shelly Ward,Drywall,Advanced,Available,Healthy,6,H,7.2
345,Monica Blankenship,Heavy Machinery Operation,Beginner,Available,Healthy,4,F,3.2
346,Paul Garcia,Carpentry,Intermediate,Unavailable,Healthy,2,J,2.0
